runtime,iter,total_ns,internal_ns,ok
zerun,0,7135644,3085395,1
zerun,1,7981849,4165501,1
zerun,2,7712086,3991010,1
zerun,3,7664345,3703690,1
zerun,4,7657604,3758021,1
zerun,5,7291867,3490822,1
zerun,6,7485096,3741246,1
zerun,7,7257005,3445964,1
zerun,8,7197997,3394368,1
zerun,9,7502342,3717751,1
zerun,10,7253430,3570391,1
zerun,11,7186831,3391934,1
zerun,12,7100351,3420947,1
zerun,13,7041002,3326516,1
zerun,14,6948935,3256502,1
zerun,15,7799687,3879032,1
zerun,16,7590944,3507136,1
zerun,17,7378517,3601627,1
zerun,18,7481180,3839063,1
zerun,19,7240741,3478603,1
zerun,20,7560980,3786975,1
zerun,21,7174873,3517592,1
zerun,22,7133521,3490942,1
zerun,23,8191633,4172661,1
zerun,24,7551365,3839423,1
zerun,25,7630564,3588428,1
zerun,26,7201021,3482018,1
zerun,27,7309834,3384532,1
zerun,28,7308402,3550772,1
zerun,29,7970572,4116558,1
zerun,30,7838575,3985612,1
zerun,31,7394340,3548067,1
zerun,32,7419999,3568348,1
zerun,33,6960332,3355099,1
zerun,34,7645466,3937750,1
zerun,35,7623443,3911901,1
zerun,36,7210005,3542149,1
zerun,37,7139900,3363801,1
zerun,38,7082003,3287077,1
zerun,39,7269534,3354238,1
zerun,40,7099329,3303872,1
zerun,41,8051824,3809218,1
zerun,42,7562913,3698272,1
zerun,43,7265218,3504021,1
zerun,44,7170946,3564882,1
zerun,45,7167481,3368219,1
zerun,46,7057367,3283752,1
zerun,47,7718586,3296071,1
zerun,48,7075303,3335679,1
zerun,49,7496624,3854345,1
zerun,50,7207761,3487157,1
zerun,51,7407430,3607897,1
zerun,52,7117766,3429089,1
zerun,53,7111728,3418403,1
zerun,54,9160101,3591573,1
zerun,55,8995705,4675935,1
zerun,56,8356389,3867064,1
zerun,57,8168608,3763509,1
zerun,58,8078975,3786865,1
zerun,59,8038685,3748737,1
